Point	X	Y	Z
0	-80.871	231.895	-2218.981
1	-80.966	231.853	-2218.687
2	-81.061	231.809	-2218.391
3	-81.156	231.764	-2218.094
4	-81.251	231.719	-2217.795
5	-81.345	231.672	-2217.495
6	-81.44	231.624	-2217.193
7	-81.534	231.575	-2216.89
8	-81.629	231.526	-2216.585
9	-81.723	231.475	-2216.279
10	-81.817	231.423	-2215.972
11	-81.911	231.37	-2215.663
12	-82.005	231.316	-2215.353
13	-82.099	231.261	-2215.041
14	-82.192	231.205	-2214.728
15	-82.286	231.148	-2214.413
16	-82.379	231.09	-2214.097
17	-82.473	231.031	-2213.779
18	-82.566	230.971	-2213.46
19	-82.659	230.911	-2213.14
20	-82.752	230.849	-2212.818
21	-82.845	230.786	-2212.495
22	-82.937	230.722	-2212.17
23	-83.03	230.657	-2211.844
24	-83.122	230.591	-2211.517
25	-83.215	230.524	-2211.188
26	-83.307	230.456	-2210.858
27	-83.399	230.387	-2210.526
28	-83.491	230.317	-2210.193
29	-83.583	230.246	-2209.859
30	-83.675	230.175	-2209.523
31	-83.766	230.102	-2209.185
32	-83.858	230.028	-2208.847
33	-83.949	229.953	-2208.507
34	-84.04	229.878	-2208.166
35	-84.131	229.801	-2207.823
36	-84.222	229.723	-2207.479
37	-84.313	229.645	-2207.134
38	-84.404	229.565	-2206.787
39	-84.494	229.485	-2206.439
40	-84.585	229.403	-2206.089
41	-84.675	229.321	-2205.738
42	-84.765	229.237	-2205.386
43	-84.855	229.153	-2205.033
44	-84.945	229.068	-2204.678
45	-85.035	228.982	-2204.322
46	-85.125	228.894	-2203.964
47	-85.214	228.806	-2203.605
48	-85.304	228.717	-2203.245
49	-85.393	228.627	-2202.884
50	-85.482	228.537	-2202.521
51	-85.571	228.445	-2202.157
52	-85.66	228.352	-2201.791
53	-85.749	228.258	-2201.425
54	-85.838	228.164	-2201.057
55	-85.926	228.068	-2200.687
56	-86.015	227.972	-2200.317
57	-86.103	227.875	-2199.945
58	-86.191	227.776	-2199.572
59	-86.279	227.677	-2199.197
60	-86.367	227.577	-2198.821
61	-86.455	227.476	-2198.444
62	-86.542	227.374	-2198.066
63	-86.63	227.272	-2197.686
64	-86.717	227.168	-2197.306
65	-86.804	227.063	-2196.923
66	-86.891	226.958	-2196.54
67	-86.978	226.852	-2196.155
68	-87.065	226.744	-2195.769
69	-87.152	226.636	-2195.382
70	-87.238	226.527	-2194.994
71	-87.325	226.417	-2194.604
72	-87.411	226.307	-2194.213
73	-87.497	226.195	-2193.821
74	-87.583	226.082	-2193.428
75	-87.669	225.969	-2193.033
76	-87.741	225.873	-2192.699
77	-87.808	225.783	-2192.389
78	-87.875	225.692	-2192.078
79	-87.942	225.601	-2191.766
80	-88.008	225.51	-2191.454
81	-88.075	225.418	-2191.141
82	-88.141	225.326	-2190.827
83	-88.208	225.233	-2190.512
84	-88.274	225.139	-2190.197
85	-88.34	225.045	-2189.88
86	-88.407	224.95	-2189.564
87	-88.473	224.855	-2189.246
88	-88.539	224.76	-2188.928
89	-88.605	224.664	-2188.609
90	-88.67	224.567	-2188.289
91	-88.736	224.47	-2187.968
92	-88.802	224.372	-2187.647
93	-88.867	224.274	-2187.325
94	-88.933	224.175	-2187.003
95	-88.998	224.076	-2186.679
96	-89.063	223.976	-2186.355
97	-89.129	223.876	-2186.03
98	-89.194	223.775	-2185.705
99	-89.259	223.674	-2185.378
100	-89.324	223.572	-2185.051
101	-89.389	223.47	-2184.724
102	-89.453	223.367	-2184.395
103	-89.518	223.264	-2184.066
104	-89.583	223.16	-2183.737
105	-89.647	223.056	-2183.406
106	-89.712	222.951	-2183.075
107	-89.776	222.846	-2182.743
108	-89.84	222.74	-2182.41
109	-89.904	222.634	-2182.077
110	-89.968	222.527	-2181.743
111	-90.032	222.42	-2181.408
112	-90.096	222.312	-2181.073
113	-90.16	222.204	-2180.737
114	-90.224	222.095	-2180.4
115	-90.287	221.986	-2180.063
116	-90.351	221.876	-2179.725
117	-90.414	221.766	-2179.386
118	-90.478	221.655	-2179.046
119	-90.541	221.544	-2178.706
120	-90.604	221.432	-2178.365
121	-90.667	221.32	-2178.024
122	-90.73	221.207	-2177.682
123	-90.793	221.094	-2177.339
124	-90.856	220.981	-2176.995
125	-90.919	220.867	-2176.651
126	-90.981	220.752	-2176.306
127	-91.044	220.637	-2175.961
128	-91.106	220.522	-2175.614
129	-91.169	220.406	-2175.267
130	-91.231	220.289	-2174.92
131	-91.293	220.172	-2174.572
132	-91.355	220.055	-2174.223
133	-91.417	219.937	-2173.873
134	-91.479	219.819	-2173.523
135	-91.541	219.7	-2173.172
136	-91.602	219.581	-2172.821
137	-91.664	219.461	-2172.469
138	-91.726	219.341	-2172.116
139	-91.787	219.22	-2171.762
140	-91.848	219.099	-2171.408
141	-91.91	218.977	-2171.054
142	-91.971	218.855	-2170.698
143	-92.032	218.733	-2170.342
144	-92.093	218.61	-2169.986
145	-92.154	218.486	-2169.628
146	-92.214	218.362	-2169.27
147	-92.275	218.238	-2168.912
148	-92.336	218.113	-2168.553
149	-92.396	217.988	-2168.193
150	-92.456	217.862	-2167.832
151	-92.517	217.736	-2167.471
152	-92.577	217.61	-2167.109
153	-92.637	217.483	-2166.747
154	-92.697	217.355	-2166.384
155	-92.757	217.227	-2166.021
156	-92.817	217.099	-2165.656
157	-92.877	216.97	-2165.292
158	-92.936	216.841	-2164.926
159	-92.996	216.711	-2164.56
160	-93.055	216.581	-2164.193
161	-93.114	216.45	-2163.826
162	-93.174	216.319	-2163.458
163	-93.233	216.188	-2163.09
164	-93.292	216.056	-2162.721
165	-93.351	215.923	-2162.351
166	-93.41	215.791	-2161.981
167	-93.468	215.657	-2161.61
168	-93.527	215.524	-2161.238
169	-93.586	215.39	-2160.866
170	-93.644	215.255	-2160.493
171	-93.703	215.12	-2160.12
172	-93.757	214.993	-2159.77
173	-93.806	214.878	-2159.452
174	-93.856	214.763	-2159.134
175	-93.905	214.647	-2158.816
176	-93.954	214.531	-2158.497
177	-94.003	214.415	-2158.178
178	-94.052	214.298	-2157.858
179	-94.101	214.181	-2157.538
180	-94.15	214.064	-2157.217
181	-94.199	213.946	-2156.896
182	-94.248	213.828	-2156.575
183	-94.296	213.71	-2156.253
184	-94.345	213.592	-2155.931
185	-94.393	213.473	-2155.608
186	-94.442	213.354	-2155.285
187	-94.49	213.234	-2154.962
188	-94.538	213.115	-2154.638
189	-94.587	212.995	-2154.313
190	-94.635	212.875	-2153.989
191	-94.683	212.754	-2153.664
192	-94.731	212.633	-2153.338
193	-94.779	212.512	-2153.012
194	-94.827	212.391	-2152.686
195	-94.874	212.269	-2152.359
196	-94.922	212.147	-2152.032
197	-94.97	212.025	-2151.704
198	-95.017	211.902	-2151.377
199	-95.065	211.779	-2151.048
200	-95.112	211.656	-2150.719
201	-95.16	211.532	-2150.39
202	-95.207	211.409	-2150.061
203	-95.254	211.285	-2149.731
204	-95.301	211.16	-2149.4
205	-95.348	211.036	-2149.07
206	-95.395	210.911	-2148.739
207	-95.442	210.786	-2148.407
208	-95.489	210.66	-2148.075
209	-95.536	210.534	-2147.743
210	-95.582	210.408	-2147.41
211	-95.629	210.282	-2147.077
212	-95.676	210.155	-2146.744
213	-95.722	210.029	-2146.41
214	-95.768	209.901	-2146.076
215	-95.815	209.774	-2145.741
216	-95.861	209.646	-2145.406
217	-95.907	209.518	-2145.071
218	-95.953	209.39	-2144.735
219	-95.999	209.261	-2144.399
220	-96.045	209.133	-2144.062
221	-96.091	209.003	-2143.725
222	-96.137	208.874	-2143.388
223	-96.183	208.744	-2143.05
224	-96.228	208.615	-2142.712
225	-96.274	208.484	-2142.374
226	-96.319	208.354	-2142.035
227	-96.365	208.223	-2141.696
228	-96.41	208.092	-2141.356
229	-96.455	207.961	-2141.017
230	-96.501	207.829	-2140.676
231	-96.546	207.697	-2140.336
232	-96.591	207.565	-2139.995
233	-96.636	207.433	-2139.653
234	-96.681	207.3	-2139.312
235	-96.726	207.168	-2138.969
236	-96.77	207.034	-2138.627
237	-96.815	206.901	-2138.284
238	-96.86	206.767	-2137.941
239	-96.904	206.633	-2137.597
240	-96.949	206.499	-2137.254
241	-96.993	206.365	-2136.909
242	-97.037	206.23	-2136.565
243	-97.081	206.095	-2136.22
244	-97.126	205.96	-2135.874
245	-97.17	205.824	-2135.529
246	-97.214	205.688	-2135.183
247	-97.257	205.552	-2134.836
248	-97.301	205.416	-2134.489
249	-97.345	205.28	-2134.142
250	-97.389	205.143	-2133.795
251	-97.432	205.006	-2133.447
252	-97.476	204.868	-2133.099
253	-97.519	204.731	-2132.75
254	-97.563	204.593	-2132.402
255	-97.606	204.455	-2132.052
256	-97.649	204.317	-2131.703
257	-97.692	204.178	-2131.353
258	-97.735	204.039	-2131.003
259	-97.778	203.9	-2130.652
260	-97.821	203.761	-2130.301
261	-97.864	203.621	-2129.95
262	-97.907	203.482	-2129.599
263	-97.949	203.342	-2129.247
264	-97.992	203.201	-2128.894
265	-98.035	203.061	-2128.542
266	-98.077	202.92	-2128.189
267	-98.119	202.779	-2127.836
268	-98.162	202.638	-2127.482
269	-98.204	202.496	-2127.128
270	-98.246	202.354	-2126.774
271	-98.288	202.212	-2126.419
272	-98.33	202.07	-2126.064
273	-98.372	201.927	-2125.709
274	-98.414	201.785	-2125.354
275	-98.455	201.642	-2124.998
276	-98.497	201.499	-2124.642
277	-98.538	201.355	-2124.285
278	-98.58	201.211	-2123.928
279	-98.621	201.067	-2123.571
280	-98.663	200.923	-2123.214
281	-98.704	200.779	-2122.856
282	-98.745	200.634	-2122.498
283	-98.786	200.489	-2122.139
284	-98.827	200.344	-2121.78
285	-98.868	200.199	-2121.421
286	-98.905	200.067	-2121.095
287	-98.942	199.936	-2120.772
288	-98.978	199.805	-2120.449
289	-99.015	199.674	-2120.126
290	-99.051	199.542	-2119.802
291	-99.088	199.411	-2119.478
292	-99.124	199.279	-2119.154
293	-99.16	199.147	-2118.829
294	-99.196	199.015	-2118.505
295	-99.232	198.882	-2118.18
296	-99.268	198.75	-2117.855
297	-99.304	198.617	-2117.529
298	-99.34	198.484	-2117.204
299	-99.376	198.351	-2116.878
300	-99.412	198.218	-2116.552
301	-99.447	198.084	-2116.225
302	-99.483	197.951	-2115.899
303	-99.519	197.817	-2115.572
304	-99.554	197.683	-2115.245
305	-99.59	197.549	-2114.917
306	-99.625	197.415	-2114.59
307	-99.66	197.28	-2114.262
308	-99.695	197.145	-2113.934
309	-99.731	197.011	-2113.606
310	-99.766	196.875	-2113.277
311	-99.801	196.74	-2112.948
312	-99.836	196.605	-2112.619
313	-99.871	196.469	-2112.29
314	-99.905	196.334	-2111.961
315	-99.94	196.198	-2111.631
316	-99.975	196.062	-2111.301
317	-100.01	195.925	-2110.971
318	-100.044	195.789	-2110.641
319	-100.079	195.652	-2110.31
320	-100.113	195.516	-2109.979
321	-100.147	195.379	-2109.648
322	-100.182	195.242	-2109.317
323	-100.216	195.104	-2108.985
324	-100.25	194.967	-2108.653
325	-100.284	194.829	-2108.322
326	-100.318	194.692	-2107.989
327	-100.352	194.554	-2107.657
328	-100.386	194.415	-2107.324
329	-100.42	194.277	-2106.991
330	-100.454	194.139	-2106.658
331	-100.487	194	-2106.325
332	-100.521	193.861	-2105.991
333	-100.555	193.722	-2105.658
334	-100.588	193.583	-2105.324
335	-100.621	193.444	-2104.99
336	-100.655	193.305	-2104.655
337	-100.688	193.165	-2104.321
338	-100.721	193.025	-2103.986
339	-100.754	192.885	-2103.651
340	-100.788	192.745	-2103.315
341	-100.821	192.605	-2102.98
342	-100.853	192.465	-2102.644
343	-100.886	192.324	-2102.308
344	-100.919	192.183	-2101.972
345	-100.952	192.043	-2101.636
346	-100.985	191.902	-2101.299
347	-101.017	191.76	-2100.963
348	-101.05	191.619	-2100.626
349	-101.082	191.478	-2100.288
350	-101.115	191.336	-2099.951
351	-101.147	191.194	-2099.614
352	-101.179	191.052	-2099.276
353	-101.211	190.91	-2098.938
354	-101.244	190.768	-2098.6
355	-101.276	190.625	-2098.261
356	-101.308	190.483	-2097.923
357	-101.339	190.34	-2097.584
358	-101.371	190.197	-2097.245
359	-101.403	190.054	-2096.906
360	-101.435	189.911	-2096.566
361	-101.466	189.768	-2096.227
362	-101.498	189.624	-2095.887
363	-101.529	189.48	-2095.547
364	-101.561	189.337	-2095.207
365	-101.592	189.193	-2094.866
366	-101.624	189.049	-2094.526
367	-101.655	188.904	-2094.185
368	-101.686	188.76	-2093.844
369	-101.717	188.615	-2093.503
370	-101.748	188.471	-2093.161
371	-101.779	188.326	-2092.82
372	-101.81	188.181	-2092.478
373	-101.841	188.036	-2092.136
374	-101.871	187.891	-2091.794
375	-101.902	187.745	-2091.452
376	-101.933	187.6	-2091.109
377	-101.963	187.454	-2090.767
378	-101.994	187.308	-2090.424
379	-102.024	187.162	-2090.081
380	-102.054	187.016	-2089.737
381	-102.085	186.87	-2089.394
382	-102.115	186.723	-2089.05
383	-102.145	186.577	-2088.707
384	-102.175	186.43	-2088.363
385	-102.205	186.283	-2088.018
386	-102.235	186.136	-2087.674
387	-102.264	185.989	-2087.33
388	-102.294	185.842	-2086.985
389	-102.324	185.695	-2086.64
390	-102.353	185.547	-2086.295
391	-102.383	185.4	-2085.95
392	-102.412	185.252	-2085.604
393	-102.442	185.104	-2085.259
394	-102.471	184.956	-2084.913
395	-102.5	184.808	-2084.567
396	-102.53	184.659	-2084.221
397	-102.559	184.511	-2083.875
398	-102.588	184.362	-2083.528
399	-102.617	184.214	-2083.181
400	-102.645	184.065	-2082.835
401	-102.674	183.916	-2082.488
402	-102.703	183.767	-2082.141
403	-102.732	183.617	-2081.793
404	-102.76	183.468	-2081.446
405	-102.789	183.318	-2081.098
406	-102.817	183.169	-2080.75
407	-102.846	183.019	-2080.402
408	-102.874	182.869	-2080.054
409	-102.902	182.719	-2079.706
410	-102.93	182.569	-2079.357
411	-102.958	182.419	-2079.009
412	-102.986	182.273	-2078.67
413	-103.012	182.132	-2078.343
414	-103.038	181.99	-2078.016
415	-103.064	181.849	-2077.688
416	-103.09	181.708	-2077.361
417	-103.116	181.566	-2077.033
418	-103.142	181.424	-2076.705
419	-103.168	181.283	-2076.377
420	-103.193	181.141	-2076.049
421	-103.219	180.999	-2075.72
422	-103.245	180.857	-2075.392
423	-103.27	180.714	-2075.063
424	-103.296	180.572	-2074.735
425	-103.321	180.43	-2074.406
426	-103.347	180.287	-2074.077
427	-103.372	180.144	-2073.748
428	-103.397	180.002	-2073.418
429	-103.422	179.859	-2073.089
430	-103.447	179.716	-2072.76
431	-103.472	179.573	-2072.43
432	-103.497	179.43	-2072.1
433	-103.522	179.286	-2071.77
434	-103.547	179.143	-2071.44
435	-103.572	179	-2071.11
436	-103.597	178.856	-2070.78
437	-103.621	178.712	-2070.449
438	-103.646	178.569	-2070.119
439	-103.67	178.425	-2069.788
440	-103.695	178.281	-2069.457
441	-103.719	178.137	-2069.126
442	-103.744	177.993	-2068.795
443	-103.768	177.848	-2068.464
444	-103.792	177.704	-2068.133
445	-103.816	177.559	-2067.801
446	-103.84	177.415	-2067.47
447	-103.864	177.27	-2067.138
448	-103.888	177.125	-2066.806
449	-103.912	176.981	-2066.474
450	-103.936	176.836	-2066.142
451	-103.96	176.691	-2065.81
452	-103.983	176.545	-2065.478
453	-104.007	176.4	-2065.146
454	-104.03	176.255	-2064.813
455	-104.054	176.11	-2064.48
456	-104.077	175.964	-2064.148
457	-104.101	175.818	-2063.815
458	-104.124	175.673	-2063.482
459	-104.147	175.527	-2063.149
460	-104.17	175.381	-2062.816
461	-104.193	175.235	-2062.482
462	-104.216	175.089	-2062.149
463	-104.239	174.943	-2061.815
464	-104.262	174.797	-2061.482
465	-104.285	174.65	-2061.148
466	-104.308	174.504	-2060.814
467	-104.33	174.357	-2060.48
468	-104.353	174.211	-2060.146
469	-104.376	174.064	-2059.812
470	-104.398	173.917	-2059.477
471	-104.42	173.77	-2059.143
472	-104.443	173.623	-2058.808
473	-104.465	173.476	-2058.474
474	-104.487	173.329	-2058.139
475	-104.509	173.182	-2057.804
476	-104.531	173.035	-2057.469
477	-104.553	172.887	-2057.134
478	-104.575	172.74	-2056.799
479	-104.597	172.592	-2056.464
480	-104.619	172.445	-2056.128
481	-104.641	172.297	-2055.793
482	-104.662	172.149	-2055.457
483	-104.684	172.001	-2055.122
484	-104.706	171.853	-2054.786
485	-104.727	171.705	-2054.45
486	-104.748	171.557	-2054.114
487	-104.77	171.409	-2053.778
488	-104.791	171.261	-2053.442
489	-104.812	171.112	-2053.106
490	-104.833	170.964	-2052.769
491	-104.854	170.815	-2052.433
492	-104.875	170.667	-2052.096
493	-104.896	170.518	-2051.76
494	-104.917	170.369	-2051.423
495	-104.938	170.22	-2051.086
496	-104.959	170.071	-2050.749
497	-104.979	169.922	-2050.412
498	-105	169.773	-2050.075
499	-105.02	169.624	-2049.738
500	-105.041	169.475	-2049.4
501	-105.061	169.326	-2049.063
502	-105.082	169.176	-2048.726
503	-105.102	169.027	-2048.388
504	-105.122	168.877	-2048.05
505	-105.142	168.728	-2047.713
506	-105.162	168.578	-2047.375
507	-105.182	168.428	-2047.037
508	-105.202	168.278	-2046.699
509	-105.222	168.128	-2046.361
510	-105.241	167.978	-2046.023
511	-105.261	167.828	-2045.684
512	-105.281	167.678	-2045.346
513	-105.3	167.528	-2045.008
514	-105.32	167.378	-2044.669
515	-105.339	167.227	-2044.331
516	-105.359	167.077	-2043.992
517	-105.378	166.927	-2043.653
518	-105.397	166.776	-2043.314
519	-105.416	166.625	-2042.975
520	-105.435	166.475	-2042.636
521	-105.454	166.324	-2042.297
522	-105.473	166.173	-2041.958
523	-105.492	166.022	-2041.619
524	-105.511	165.871	-2041.28
525	-105.53	165.72	-2040.94
526	-105.548	165.569	-2040.601
527	-105.567	165.418	-2040.261
528	-105.585	165.267	-2039.922
529	-105.604	165.116	-2039.582
530	-105.622	164.964	-2039.242
531	-105.64	164.813	-2038.903
532	-105.659	164.661	-2038.563
533	-105.677	164.51	-2038.223
534	-105.695	164.358	-2037.883
535	-105.713	164.207	-2037.543
536	-105.731	164.055	-2037.203
537	-105.749	163.903	-2036.862
538	-105.766	163.751	-2036.522
539	-105.784	163.599	-2036.182
540	-105.802	163.448	-2035.841
541	-105.819	163.296	-2035.501
542	-105.837	163.143	-2035.16
543	-105.854	162.991	-2034.82
544	-105.872	162.839	-2034.479
545	-105.889	162.687	-2034.138
546	-105.906	162.535	-2033.797
547	-105.923	162.385	-2033.462
548	-105.94	162.237	-2033.131
549	-105.956	162.088	-2032.799
550	-105.973	161.94	-2032.468
551	-105.989	161.792	-2032.136
552	-106.006	161.643	-2031.804
553	-106.022	161.495	-2031.472
554	-106.038	161.346	-2031.14
555	-106.054	161.198	-2030.808
556	-106.07	161.049	-2030.476
557	-106.086	160.9	-2030.144
558	-106.102	160.752	-2029.812
559	-106.118	160.603	-2029.48
560	-106.134	160.454	-2029.148
561	-106.15	160.305	-2028.816
562	-106.166	160.156	-2028.483
563	-106.181	160.007	-2028.151
564	-106.197	159.858	-2027.819
565	-106.212	159.709	-2027.486
566	-106.228	159.56	-2027.154
567	-106.243	159.411	-2026.821
568	-106.258	159.261	-2026.488
569	-106.273	159.112	-2026.156
570	-106.289	158.963	-2025.823
571	-106.304	158.814	-2025.49
572	-106.319	158.664	-2025.158
573	-106.334	158.515	-2024.825
574	-106.348	158.365	-2024.492
575	-106.363	158.216	-2024.159
576	-106.378	158.066	-2023.826
577	-106.393	157.916	-2023.493
578	-106.407	157.767	-2023.16
579	-106.422	157.617	-2022.827
580	-106.436	157.467	-2022.494
581	-106.451	157.318	-2022.161
582	-106.465	157.168	-2021.827
583	-106.479	157.018	-2021.494
584	-106.493	156.868	-2021.161
585	-106.507	156.718	-2020.827
586	-106.521	156.568	-2020.494
587	-106.535	156.418	-2020.161
588	-106.549	156.268	-2019.827
589	-106.563	156.118	-2019.494
590	-106.577	155.968	-2019.16
591	-106.591	155.817	-2018.827
592	-106.604	155.667	-2018.493
593	-106.618	155.517	-2018.16
594	-106.631	155.367	-2017.826
595	-106.645	155.216	-2017.492
596	-106.658	155.066	-2017.158
597	-106.671	154.915	-2016.825
598	-106.685	154.765	-2016.491
