Point	X	Y	Z
0	714.464 m	-1280.159 m	5467.411 m
1	723.111 m	-1280.074 m	5476.09 m
2	731.769 m	-1279.989 m	5484.779 m
3	740.436 m	-1279.904 m	5493.478 m
4	749.114 m	-1279.818 m	5502.188 m
5	757.802 m	-1279.732 m	5510.908 m
6	766.5 m	-1279.645 m	5519.638 m
7	775.207 m	-1279.559 m	5528.378 m
8	783.924 m	-1279.472 m	5537.129 m
9	792.65 m	-1279.384 m	5545.889 m
10	801.385 m	-1279.296 m	5554.659 m
11	810.13 m	-1279.208 m	5563.439 m
12	818.883 m	-1279.12 m	5572.229 m
13	827.645 m	-1279.031 m	5581.028 m
14	836.415 m	-1278.942 m	5589.837 m
15	845.195 m	-1278.853 m	5598.656 m
16	853.982 m	-1278.763 m	5607.484 m
17	862.777 m	-1278.673 m	5616.322 m
18	871.581 m	-1278.583 m	5625.169 m
19	880.392 m	-1278.492 m	5634.025 m
20	889.211 m	-1278.401 m	5642.891 m
21	898.038 m	-1278.31 m	5651.765 m
22	906.872 m	-1278.218 m	5660.649 m
23	915.713 m	-1278.126 m	5669.542 m
24	924.561 m	-1278.034 m	5678.444 m
25	933.416 m	-1277.942 m	5687.355 m
26	942.278 m	-1277.849 m	5696.274 m
27	951.147 m	-1277.756 m	5705.203 m
28	960.022 m	-1277.663 m	5714.14 m
29	968.903 m	-1277.569 m	5723.085 m
30	977.791 m	-1277.475 m	5732.04 m
31	986.598 m	-1277.382 m	5740.915 m
32	995.28 m	-1277.29 m	5749.667 m
33	1003.967 m	-1277.198 m	5758.427 m
34	1012.66 m	-1277.105 m	5767.195 m
35	1021.357 m	-1277.012 m	5775.97 m
36	1030.06 m	-1276.919 m	5784.753 m
37	1038.768 m	-1276.825 m	5793.544 m
38	1047.48 m	-1276.732 m	5802.343 m
39	1056.197 m	-1276.638 m	5811.149 m
40	1064.918 m	-1276.544 m	5819.963 m
41	1073.644 m	-1276.449 m	5828.785 m
42	1082.374 m	-1276.355 m	5837.613 m
43	1091.108 m	-1276.26 m	5846.449 m
44	1099.846 m	-1276.164 m	5855.293 m
45	1108.587 m	-1276.069 m	5864.143 m
46	1117.332 m	-1275.973 m	5873.001 m
47	1126.081 m	-1275.878 m	5881.866 m
48	1134.833 m	-1275.782 m	5890.738 m
49	1143.588 m	-1275.685 m	5899.617 m
50	1152.347 m	-1275.589 m	5908.503 m
51	1161.108 m	-1275.492 m	5917.396 m
52	1169.872 m	-1275.395 m	5926.296 m
53	1178.638 m	-1275.298 m	5935.202 m
54	1187.407 m	-1275.2 m	5944.115 m
55	1196.179 m	-1275.103 m	5953.035 m
56	1204.953 m	-1275.005 m	5961.961 m
57	1213.728 m	-1274.907 m	5970.894 m
58	1222.506 m	-1274.808 m	5979.833 m
59	1231.285 m	-1274.71 m	5988.778 m
60	1240.066 m	-1274.611 m	5997.73 m
61	1248.849 m	-1274.512 m	6006.688 m
62	1257.63 m	-1274.413 m	6015.65 m
63	1266.301 m	-1274.315 m	6024.503 m
64	1274.972 m	-1274.217 m	6033.362 m
65	1283.645 m	-1274.119 m	6042.227 m
66	1292.318 m	-1274.02 m	6051.098 m
67	1300.992 m	-1273.922 m	6059.975 m
68	1309.666 m	-1273.823 m	6068.857 m
69	1318.341 m	-1273.724 m	6077.745 m
70	1327.016 m	-1273.624 m	6086.638 m
71	1335.692 m	-1273.525 m	6095.537 m
72	1344.367 m	-1273.425 m	6104.442 m
73	1353.042 m	-1273.325 m	6113.352 m
74	1361.717 m	-1273.225 m	6122.267 m
75	1370.391 m	-1273.125 m	6131.187 m
