Point	X	Y	Z
0	124.522 m	59.106 m	-16135.056 m
1	133.169 m	59.191 m	-16126.377 m
2	141.826 m	59.276 m	-16117.688 m
3	150.494 m	59.361 m	-16108.989 m
4	159.172 m	59.447 m	-16100.279 m
5	167.86 m	59.533 m	-16091.559 m
6	176.557 m	59.619 m	-16082.829 m
7	185.265 m	59.706 m	-16074.088 m
8	193.981 m	59.793 m	-16065.338 m
9	202.708 m	59.881 m	-16056.578 m
10	211.443 m	59.968 m	-16047.808 m
11	220.187 m	60.057 m	-16039.028 m
12	228.941 m	60.145 m	-16030.238 m
13	237.703 m	60.234 m	-16021.438 m
14	246.473 m	60.323 m	-16012.629 m
15	255.252 m	60.412 m	-16003.811 m
16	264.04 m	60.502 m	-15994.982 m
17	272.835 m	60.592 m	-15986.145 m
18	281.639 m	60.682 m	-15977.298 m
19	290.45 m	60.773 m	-15968.442 m
20	299.269 m	60.864 m	-15959.576 m
21	308.095 m	60.955 m	-15950.701 m
22	316.929 m	61.046 m	-15941.818 m
23	325.771 m	61.138 m	-15932.925 m
24	334.619 m	61.23 m	-15924.023 m
25	343.474 m	61.323 m	-15915.112 m
26	352.336 m	61.416 m	-15906.193 m
27	361.205 m	61.509 m	-15897.264 m
28	370.08 m	61.602 m	-15888.327 m
29	378.961 m	61.696 m	-15879.381 m
30	387.849 m	61.789 m	-15870.427 m
31	396.656 m	61.883 m	-15861.551 m
32	405.338 m	61.975 m	-15852.799 m
33	414.025 m	62.067 m	-15844.04 m
34	422.717 m	62.16 m	-15835.272 m
35	431.415 m	62.253 m	-15826.497 m
36	440.118 m	62.346 m	-15817.713 m
37	448.825 m	62.439 m	-15808.922 m
38	457.538 m	62.533 m	-15800.124 m
39	466.255 m	62.627 m	-15791.317 m
40	474.976 m	62.721 m	-15782.504 m
41	483.702 m	62.816 m	-15773.682 m
42	492.432 m	62.91 m	-15764.853 m
43	501.165 m	63.005 m	-15756.017 m
44	509.903 m	63.1 m	-15747.174 m
45	518.645 m	63.196 m	-15738.323 m
46	527.39 m	63.291 m	-15729.465 m
47	536.139 m	63.387 m	-15720.601 m
48	544.891 m	63.483 m	-15711.729 m
49	553.646 m	63.58 m	-15702.85 m
50	562.404 m	63.676 m	-15693.964 m
51	571.165 m	63.773 m	-15685.071 m
52	579.929 m	63.87 m	-15676.171 m
53	588.696 m	63.967 m	-15667.265 m
54	597.465 m	64.065 m	-15658.352 m
55	606.237 m	64.162 m	-15649.432 m
56	615.01 m	64.26 m	-15640.506 m
57	623.786 m	64.358 m	-15631.573 m
58	632.564 m	64.456 m	-15622.634 m
59	641.343 m	64.555 m	-15613.688 m
60	650.124 m	64.653 m	-15604.737 m
61	658.907 m	64.752 m	-15595.778 m
62	667.688 m	64.851 m	-15586.817 m
63	676.358 m	64.949 m	-15577.964 m
64	685.03 m	65.048 m	-15569.105 m
65	693.702 m	65.146 m	-15560.24 m
66	702.376 m	65.245 m	-15551.369 m
67	711.05 m	65.343 m	-15542.492 m
68	719.724 m	65.442 m	-15533.61 m
69	728.399 m	65.541 m	-15524.722 m
70	737.074 m	65.641 m	-15515.828 m
71	745.749 m	65.74 m	-15506.929 m
72	754.424 m	65.84 m	-15498.025 m
73	763.099 m	65.939 m	-15489.115 m
74	771.774 m	66.039 m	-15480.2 m
75	780.449 m	66.14 m	-15471.28 m
76	789.122 m	66.24 m	-15462.354 m
77	797.795 m	66.34 m	-15453.423 m
78	806.468 m	66.441 m	-15444.487 m
79	815.139 m	66.542 m	-15435.546 m
80	823.809 m	66.643 m	-15426.601 m
81	832.478 m	66.744 m	-15417.65 m
82	841.146 m	66.845 m	-15408.694 m
83	849.812 m	66.946 m	-15399.734 m
84	858.476 m	67.048 m	-15390.769 m
85	867.139 m	67.15 m	-15381.799 m
86	875.799 m	67.252 m	-15372.824 m
87	884.458 m	67.354 m	-15363.845 m
88	893.114 m	67.456 m	-15354.862 m
89	901.769 m	67.558 m	-15345.874 m
90	910.42 m	67.66 m	-15336.882 m
91	919.069 m	67.763 m	-15327.885 m
92	927.716 m	67.866 m	-15318.884 m
93	936.359 m	67.968 m	-15309.879 m
94	944.996 m	68.071 m	-15300.875 m
95	953.615 m	68.174 m	-15291.88 m
96	962.231 m	68.277 m	-15282.882 m
97	970.844 m	68.38 m	-15273.879 m
98	979.453 m	68.483 m	-15264.873 m
99	988.059 m	68.587 m	-15255.863 m
100	996.66 m	68.69 m	-15246.849 m
101	1005.258 m	68.794 m	-15237.831 m
102	1013.852 m	68.897 m	-15228.81 m
103	1022.442 m	69.001 m	-15219.785 m
104	1031.027 m	69.105 m	-15210.756 m
105	1039.608 m	69.209 m	-15201.724 m
106	1048.184 m	69.313 m	-15192.689 m
107	1056.755 m	69.417 m	-15183.65 m
108	1065.322 m	69.521 m	-15174.608 m
109	1073.884 m	69.626 m	-15165.563 m
110	1082.44 m	69.73 m	-15156.514 m
111	1090.991 m	69.835 m	-15147.463 m
112	1099.537 m	69.939 m	-15138.408 m
113	1108.078 m	70.044 m	-15129.351 m
114	1116.612 m	70.149 m	-15120.29 m
115	1125.141 m	70.254 m	-15111.226 m
116	1133.664 m	70.359 m	-15102.16 m
117	1142.181 m	70.464 m	-15093.091 m
118	1150.691 m	70.569 m	-15084.019 m
119	1159.196 m	70.674 m	-15074.945 m
120	1167.693 m	70.78 m	-15065.868 m
121	1176.185 m	70.885 m	-15056.788 m
122	1184.669 m	70.99 m	-15047.706 m
123	1193.147 m	71.096 m	-15038.621 m
124	1201.617 m	71.201 m	-15029.534 m
125	1210.08 m	71.307 m	-15020.445 m
126	1218.565 m	71.413 m	-15011.323 m
127	1227.088 m	71.52 m	-15002.149 m
128	1235.603 m	71.627 m	-14992.974 m
129	1244.11 m	71.733 m	-14983.797 m
130	1252.609 m	71.84 m	-14974.617 m
131	1261.1 m	71.947 m	-14965.436 m
132	1269.583 m	72.054 m	-14956.252 m
133	1278.057 m	72.161 m	-14947.067 m
134	1286.523 m	72.268 m	-14937.88 m
135	1294.98 m	72.375 m	-14928.691 m
136	1303.428 m	72.482 m	-14919.5 m
137	1311.868 m	72.589 m	-14910.308 m
138	1320.298 m	72.697 m	-14901.114 m
139	1328.72 m	72.804 m	-14891.919 m
140	1337.131 m	72.911 m	-14882.722 m
141	1345.534 m	73.018 m	-14873.524 m
142	1353.927 m	73.126 m	-14864.325 m
143	1362.31 m	73.233 m	-14855.124 m
144	1370.683 m	73.34 m	-14845.922 m
145	1379.046 m	73.448 m	-14836.719 m
146	1387.399 m	73.555 m	-14827.515 m
147	1395.742 m	73.662 m	-14818.31 m
148	1404.074 m	73.77 m	-14809.104 m
149	1412.395 m	73.877 m	-14799.897 m
150	1420.706 m	73.985 m	-14790.689 m
151	1429.006 m	74.092 m	-14781.481 m
152	1437.295 m	74.2 m	-14772.271 m
153	1445.573 m	74.307 m	-14763.061 m
154	1453.84 m	74.415 m	-14753.851 m
155	1462.095 m	74.522 m	-14744.64 m
156	1470.339 m	74.63 m	-14735.428 m
157	1478.571 m	74.737 m	-14726.216 m
158	1486.923 m	74.846 m	-14716.856 m
159	1495.293 m	74.956 m	-14707.462 m
160	1503.65 m	75.065 m	-14698.067 m
161	1511.994 m	75.175 m	-14688.672 m
162	1520.326 m	75.284 m	-14679.277 m
163	1528.644 m	75.394 m	-14669.882 m
164	1536.95 m	75.503 m	-14660.488 m
165	1545.242 m	75.613 m	-14651.093 m
166	1553.52 m	75.722 m	-14641.698 m
167	1561.785 m	75.832 m	-14632.304 m
168	1570.036 m	75.941 m	-14622.909 m
169	1578.274 m	76.05 m	-14613.515 m
170	1586.497 m	76.16 m	-14604.122 m
171	1594.706 m	76.269 m	-14594.729 m
172	1602.901 m	76.378 m	-14585.336 m
173	1611.081 m	76.487 m	-14575.944 m
174	1619.246 m	76.597 m	-14566.553 m
175	1627.397 m	76.706 m	-14557.163 m
176	1635.533 m	76.815 m	-14547.773 m
177	1643.654 m	76.924 m	-14538.384 m
178	1651.76 m	77.033 m	-14528.996 m
179	1659.85 m	77.142 m	-14519.609 m
180	1667.925 m	77.25 m	-14510.223 m
181	1675.984 m	77.359 m	-14500.838 m
182	1684.027 m	77.468 m	-14491.454 m
183	1692.054 m	77.577 m	-14482.071 m
184	1700.065 m	77.685 m	-14472.69 m
185	1708.06 m	77.794 m	-14463.31 m
186	1716.039 m	77.902 m	-14453.931 m
187	1724.001 m	78.011 m	-14444.554 m
188	1731.946 m	78.119 m	-14435.179 m
189	1740.084 m	78.23 m	-14425.558 m
190	1748.24 m	78.341 m	-14415.895 m
191	1756.379 m	78.453 m	-14406.233 m
192	1764.499 m	78.564 m	-14396.574 m
193	1772.6 m	78.675 m	-14386.916 m
194	1780.683 m	78.787 m	-14377.261 m
195	1788.747 m	78.898 m	-14367.608 m
196	1796.792 m	79.009 m	-14357.957 m
197	1804.817 m	79.119 m	-14348.308 m
198	1812.824 m	79.23 m	-14338.662 m
199	1820.811 m	79.341 m	-14329.018 m
200	1828.778 m	79.451 m	-14319.376 m
201	1836.725 m	79.562 m	-14309.737 m
202	1844.653 m	79.672 m	-14300.101 m
203	1852.56 m	79.782 m	-14290.467 m
204	1860.447 m	79.892 m	-14280.836 m
205	1868.314 m	80.002 m	-14271.208 m
206	1876.16 m	80.112 m	-14261.583 m
207	1883.985 m	80.222 m	-14251.961 m
208	1891.789 m	80.331 m	-14242.341 m
209	1899.572 m	80.441 m	-14232.725 m
210	1907.334 m	80.55 m	-14223.112 m
211	1915.075 m	80.659 m	-14213.503 m
212	1922.794 m	80.768 m	-14203.897 m
213	1930.491 m	80.877 m	-14194.294 m
214	1938.166 m	80.986 m	-14184.694 m
215	1945.819 m	81.094 m	-14175.098 m
216	1953.45 m	81.203 m	-14165.506 m
217	1961.059 m	81.311 m	-14155.917 m
218	1968.645 m	81.419 m	-14146.332 m
219	1976.474 m	81.531 m	-14136.415 m
220	1984.337 m	81.643 m	-14126.427 m
221	1992.175 m	81.756 m	-14116.442 m
222	1999.988 m	81.868 m	-14106.463 m
223	2007.775 m	81.98 m	-14096.488 m
224	2015.537 m	82.091 m	-14086.517 m
225	2023.273 m	82.203 m	-14076.551 m
226	2030.983 m	82.314 m	-14066.59 m
227	2038.667 m	82.425 m	-14056.633 m
228	2046.324 m	82.536 m	-14046.681 m
229	2053.956 m	82.647 m	-14036.734 m
230	2061.56 m	82.757 m	-14026.793 m
231	2069.138 m	82.868 m	-14016.856 m
232	2076.688 m	82.978 m	-14006.925 m
233	2084.211 m	83.088 m	-13996.998 m
234	2091.707 m	83.197 m	-13987.077 m
235	2099.175 m	83.307 m	-13977.162 m
236	2106.616 m	83.416 m	-13967.252 m
237	2114.028 m	83.525 m	-13957.348 m
238	2121.413 m	83.634 m	-13947.449 m
239	2128.769 m	83.743 m	-13937.556 m
240	2136.097 m	83.851 m	-13927.669 m
241	2143.395 m	83.959 m	-13917.787 m
242	2150.665 m	84.067 m	-13907.912 m
243	2157.906 m	84.175 m	-13898.043 m
244	2165.118 m	84.282 m	-13888.179 m
245	2172.3 m	84.389 m	-13878.322 m
246	2179.453 m	84.496 m	-13868.472 m
247	2186.585 m	84.603 m	-13858.616 m
248	2194.07 m	84.715 m	-13848.232 m
249	2201.523 m	84.827 m	-13837.855 m
250	2208.941 m	84.939 m	-13827.486 m
251	2216.325 m	85.051 m	-13817.125 m
252	2223.676 m	85.162 m	-13806.77 m
253	2230.991 m	85.273 m	-13796.424 m
254	2238.272 m	85.383 m	-13786.085 m
255	2245.519 m	85.494 m	-13775.754 m
256	2252.73 m	85.603 m	-13765.431 m
257	2259.906 m	85.713 m	-13755.116 m
258	2267.046 m	85.822 m	-13744.81 m
259	2274.151 m	85.931 m	-13734.511 m
260	2281.219 m	86.04 m	-13724.221 m
261	2288.252 m	86.149 m	-13713.939 m
262	2295.248 m	86.257 m	-13703.665 m
263	2302.207 m	86.364 m	-13693.4 m
264	2309.13 m	86.472 m	-13683.144 m
265	2316.016 m	86.579 m	-13672.897 m
266	2322.864 m	86.685 m	-13662.658 m
267	2329.675 m	86.792 m	-13652.429 m
268	2336.449 m	86.898 m	-13642.208 m
269	2343.184 m	87.003 m	-13631.997 m
270	2349.882 m	87.109 m	-13621.795 m
271	2356.541 m	87.214 m	-13611.602 m
272	2363.162 m	87.318 m	-13601.418 m
273	2369.744 m	87.422 m	-13591.245 m
274	2376.287 m	87.526 m	-13581.08 m
275	2383.12 m	87.635 m	-13570.41 m
276	2390.024 m	87.745 m	-13559.57 m
277	2396.883 m	87.855 m	-13548.741 m
278	2403.697 m	87.964 m	-13537.924 m
279	2410.465 m	88.073 m	-13527.118 m
280	2417.188 m	88.181 m	-13516.324 m
281	2423.863 m	88.289 m	-13505.542 m
282	2430.493 m	88.397 m	-13494.771 m
283	2437.075 m	88.504 m	-13484.013 m
284	2443.611 m	88.61 m	-13473.266 m
285	2450.099 m	88.716 m	-13462.532 m
286	2456.539 m	88.822 m	-13451.81 m
287	2462.932 m	88.927 m	-13441.101 m
288	2469.277 m	89.032 m	-13430.404 m
289	2475.573 m	89.136 m	-13419.72 m
290	2481.821 m	89.24 m	-13409.048 m
291	2488.019 m	89.343 m	-13398.39 m
292	2494.169 m	89.446 m	-13387.744 m
293	2500.269 m	89.548 m	-13377.112 m
294	2506.32 m	89.65 m	-13366.493 m
295	2512.321 m	89.751 m	-13355.887 m
296	2518.271 m	89.852 m	-13345.295 m
297	2524.171 m	89.952 m	-13334.716 m
298	2530.02 m	90.052 m	-13324.151 m
299	2535.819 m	90.151 m	-13313.6 m
300	2541.55 m	90.249 m	-13303.094 m
301	2547.21 m	90.348 m	-13292.678 m
302	2552.886 m	90.449 m	-13282.212 m
303	2558.578 m	90.552 m	-13271.697 m
304	2564.285 m	90.658 m	-13261.132 m
305	2570.007 m	90.765 m	-13250.518 m
306	2575.743 m	90.875 m	-13239.856 m
307	2581.495 m	90.987 m	-13229.144 m
308	2587.26 m	91.101 m	-13218.385 m
309	2593.039 m	91.217 m	-13207.578 m
310	2598.832 m	91.335 m	-13196.723 m
311	2604.638 m	91.455 m	-13185.821 m
312	2610.458 m	91.577 m	-13174.872 m
313	2616.29 m	91.701 m	-13163.876 m
314	2622.135 m	91.828 m	-13152.834 m
315	2627.993 m	91.956 m	-13141.746 m
316	2633.862 m	92.086 m	-13130.612 m
317	2639.743 m	92.218 m	-13119.432 m
318	2645.636 m	92.352 m	-13108.207 m
319	2651.54 m	92.488 m	-13096.938 m
320	2657.455 m	92.626 m	-13085.624 m
321	2663.381 m	92.766 m	-13074.265 m
322	2669.317 m	92.907 m	-13062.863 m
323	2675.264 m	93.05 m	-13051.417 m
324	2681.22 m	93.196 m	-13039.927 m
325	2687.186 m	93.342 m	-13028.395 m
326	2693.015 m	93.487 m	-13017.104 m
327	2698.517 m	93.625 m	-13006.424 m
328	2704.027 m	93.765 m	-12995.709 m
329	2709.544 m	93.906 m	-12984.958 m
330	2715.068 m	94.049 m	-12974.172 m
331	2720.599 m	94.192 m	-12963.351 m
332	2726.137 m	94.338 m	-12952.495 m
