Point	X	Y	Z
0	183.622 m	14.806 m	-16083.156 m
1	192.292 m	14.892 m	-16074.454 m
2	200.968 m	14.982 m	-16065.745 m
3	209.651 m	15.075 m	-16057.029 m
4	218.341 m	15.171 m	-16048.306 m
5	227.037 m	15.269 m	-16039.576 m
6	235.739 m	15.372 m	-16030.838 m
7	244.447 m	15.477 m	-16022.094 m
8	253.161 m	15.585 m	-16013.343 m
9	261.881 m	15.696 m	-16004.585 m
10	270.606 m	15.811 m	-15995.821 m
11	279.337 m	15.928 m	-15987.049 m
12	288.073 m	16.048 m	-15978.271 m
13	296.815 m	16.171 m	-15969.486 m
14	305.562 m	16.297 m	-15960.695 m
15	314.314 m	16.427 m	-15951.897 m
16	323.071 m	16.558 m	-15943.092 m
17	331.832 m	16.693 m	-15934.281 m
18	340.598 m	16.831 m	-15925.464 m
19	349.369 m	16.971 m	-15916.64 m
20	358.144 m	17.115 m	-15907.809 m
21	366.924 m	17.261 m	-15898.973 m
22	375.707 m	17.41 m	-15890.13 m
23	384.495 m	17.561 m	-15881.281 m
24	393.286 m	17.716 m	-15872.425 m
25	402.081 m	17.873 m	-15863.564 m
26	410.88 m	18.032 m	-15854.696 m
27	419.682 m	18.195 m	-15845.823 m
28	428.488 m	18.36 m	-15836.943 m
29	437.297 m	18.528 m	-15828.058 m
30	446.109 m	18.698 m	-15819.166 m
31	454.859 m	18.869 m	-15810.334 m
32	463.544 m	19.042 m	-15801.565 m
33	472.231 m	19.217 m	-15792.791 m
34	480.92 m	19.395 m	-15784.012 m
35	489.613 m	19.575 m	-15775.226 m
36	498.307 m	19.757 m	-15766.436 m
37	507.003 m	19.942 m	-15757.64 m
38	515.702 m	20.129 m	-15748.838 m
39	524.402 m	20.318 m	-15740.031 m
40	533.105 m	20.51 m	-15731.219 m
41	541.809 m	20.704 m	-15722.402 m
42	550.514 m	20.901 m	-15713.579 m
43	559.221 m	21.099 m	-15704.751 m
44	567.929 m	21.3 m	-15695.918 m
45	576.639 m	21.503 m	-15687.08 m
46	585.349 m	21.708 m	-15678.237 m
47	594.061 m	21.916 m	-15669.389 m
48	602.773 m	22.125 m	-15660.536 m
49	611.486 m	22.337 m	-15651.678 m
50	620.199 m	22.551 m	-15642.815 m
51	628.913 m	22.767 m	-15633.947 m
52	637.627 m	22.985 m	-15625.075 m
53	646.342 m	23.205 m	-15616.197 m
54	655.056 m	23.427 m	-15607.315 m
55	663.771 m	23.651 m	-15598.429 m
56	672.485 m	23.877 m	-15589.538 m
57	681.199 m	24.106 m	-15580.642 m
58	689.913 m	24.336 m	-15571.741 m
59	698.626 m	24.568 m	-15562.837 m
60	707.339 m	24.801 m	-15553.927 m
61	716.051 m	25.037 m	-15545.013 m
62	724.735 m	25.274 m	-15536.123 m
63	733.391 m	25.512 m	-15527.255 m
64	742.046 m	25.752 m	-15518.384 m
65	750.7 m	25.994 m	-15509.508 m
66	759.353 m	26.237 m	-15500.628 m
67	768.004 m	26.482 m	-15491.743 m
68	776.653 m	26.729 m	-15482.855 m
69	785.301 m	26.978 m	-15473.963 m
70	793.947 m	27.228 m	-15465.067 m
71	802.591 m	27.48 m	-15456.166 m
72	811.233 m	27.734 m	-15447.262 m
73	819.872 m	27.989 m	-15438.355 m
74	828.51 m	28.246 m	-15429.443 m
75	837.145 m	28.504 m	-15420.527 m
76	845.777 m	28.764 m	-15411.608 m
77	854.407 m	29.026 m	-15402.685 m
78	863.034 m	29.289 m	-15393.759 m
79	871.658 m	29.554 m	-15384.829 m
80	880.278 m	29.82 m	-15375.895 m
81	888.896 m	30.088 m	-15366.958 m
82	897.511 m	30.357 m	-15358.017 m
83	906.122 m	30.627 m	-15349.073 m
